#G	time_to_stabilize
#G_graz: 0.0578561
0.178	149.648
#starting from: -8.70095	-7.81161
0.178	149.648
#starting from: -7.54934	-8.95011
0.178	149.648
#starting from: -8.55037	-8.02948
0.178	149.648
#starting from: -7.34089	-7.88577
0.178	149.648
#starting from: -7.77194	-8.38196
0.178	149.648
#starting from: -8.52252	-8.88858
0.178	149.648
#starting from: -7.29334	-8.85758
0.178	149.648
#starting from: -8.69518	-7.88648
0.178	149.648
#starting from: -7.66357	-7.01064
0.178	149.648
#starting from: -7.23765	-7.27633
0.178	149.648
#starting from: -7.21138	-7.00151
0.178	149.648
#starting from: -7.38674	-7.98827
0.178	149.648
#starting from: -7.90208	-8.84593
0.178	149.648
#starting from: -8.73133	-7.5473
0.178	149.648
#starting from: -7.0681	-7.84567
0.178	149.648
#starting from: -7.85732	-7.36719
0.178	149.648
#starting from: -8.18222	-8.50073
0.178	149.648
#starting from: -8.80348	-7.96905
0.178	149.648
#starting from: -7.29824	-8.92331
0.178	149.648
#starting from: -7.66833	-7.01365
0.178	149.648
#starting from: -8.85921	-7.22819
0.178	149.648
#starting from: -7.19501	-8.93788
0.178	149.648
#starting from: -7.04824	-7.58256
0.178	149.648
#starting from: -7.7137	-7.93211
0.178	149.648
#starting from: -7.33368	-7.9135
0.178	149.648
#starting from: -7.30475	-8.96899
0.178	149.648
#starting from: -8.01469	-7.45153
0.178	149.648
#starting from: -8.03846	-8.74094
0.178	149.648
#starting from: -7.91732	-7.14629
0.178	149.648
#starting from: -8.28713	-7.97408
0.178	149.648
#starting from: -8.05798	-7.81236
0.178	149.648
#starting from: -7.75446	-8.64924
0.178	149.648
#starting from: -8.55111	-7.65856
0.178	149.648
#starting from: -8.97278	-8.84329
0.178	149.648
#starting from: -8.7023	-8.4731
0.178	149.648
#starting from: -7.91953	-7.88714
0.178	149.648
#starting from: -7.83197	-7.75918
0.178	149.648
#starting from: -7.71407	-7.78706
0.178	149.648
#starting from: -8.00473	-7.64937
0.178	149.648
#starting from: -7.59203	-7.93494
0.178	149.648
#starting from: -8.37912	-8.92761
0.178	149.648
#starting from: -8.88346	-8.47788
0.178	149.648
#starting from: -8.58827	-7.86119
0.178	149.648
#starting from: -7.31059	-8.6766
0.178	149.648
#starting from: -8.69171	-7.50706
0.178	149.648
#starting from: -8.49101	-7.99944
0.178	149.648
#starting from: -7.74217	-7.99195
0.178	149.648
#starting from: -8.98988	-7.6325
0.178	149.648
#starting from: -7.80341	-7.26695
0.178	149.648
#starting from: -7.14264	-8.23237
0.178	149.648
#starting from: -7.60378	-8.33275
0.178	149.648
#starting from: -7.06723	-7.44134
0.178	149.648
#starting from: -8.17671	-8.94453
0.178	149.648
#starting from: -7.31597	-7.43367
0.178	149.648
#starting from: -7.20907	-8.94756
0.178	149.648
#starting from: -8.51984	-8.15677
0.178	149.648
#starting from: -8.80478	-8.27255
0.178	149.648
#starting from: -8.98199	-8.25431
0.178	149.648
#starting from: -7.32523	-7.85348
0.178	149.648
#starting from: -8.89864	-7.14122
0.178	149.648
#starting from: -8.8903	-7.58159
0.178	149.648
#starting from: -8.76662	-8.67995
0.178	149.648
#starting from: -8.63512	-7.78933
0.178	149.648
#starting from: -7.92576	-7.22404
0.178	149.648
#starting from: -8.71916	-8.78826
0.178	149.648
#starting from: -8.94423	-8.79634
0.178	149.648
#starting from: -8.13056	-7.57593
0.178	149.648
#starting from: -8.75869	-7.21293
0.178	149.648
#starting from: -7.79276	-7.46607
0.178	149.648
#starting from: -8.48871	-7.11436
0.178	149.648
#starting from: -7.98267	-8.01521
0.178	149.648
#starting from: -7.59001	-8.2888
0.178	149.648
#starting from: -7.41186	-7.90579
0.178	149.648
#starting from: -7.1805	-8.4215
0.178	149.648
#starting from: -7.86459	-7.47403
0.178	149.648
#starting from: -7.75403	-7.1198
0.178	149.648
#starting from: -7.46879	-8.70338
0.178	149.648
#starting from: -7.38736	-8.62916
0.178	149.648
#starting from: -7.27715	-8.11221
0.178	149.648
#starting from: -8.54242	-7.54899
0.178	149.648
#starting from: -7.38151	-7.30962
0.178	149.648
#starting from: -8.31925	-8.02147
0.178	149.648
#starting from: -7.49812	-8.583
0.178	149.648
#starting from: -8.81935	-7.406
0.178	149.648
#starting from: -8.1526	-7.881
0.178	149.648
#starting from: -7.2927	-8.46271
0.178	149.648
#starting from: -8.31662	-7.7915
0.178	149.648
#starting from: -7.92272	-8.18396
0.178	149.648
#starting from: -8.45472	-7.29462
0.178	149.648
#starting from: -8.46557	-7.45655
0.178	149.648
#starting from: -8.18236	-8.16817
0.178	149.648
#starting from: -8.0742	-7.82427
0.178	149.648
#starting from: -7.74025	-8.37612
0.178	149.648
#starting from: -7.75505	-7.36426
0.178	149.648
#starting from: -7.77469	-8.30663
0.178	149.648
#starting from: -8.0137	-7.3888
0.178	149.648
#starting from: -7.78414	-7.25858
0.178	149.648
#starting from: -7.66828	-8.50179
0.178	149.648
#starting from: -7.41089	-8.64467
0.178	149.648
#starting from: -8.57313	-7.89066
0.178	149.648
#starting from: -7.79569	-8.42816
0.178	149.648
#starting from: -7.69877	-8.42188
0.178	149.648
#starting from: -8.74855	-7.10487
0.178	149.648
#starting from: -7.84078	-7.91694
0.178	149.648
#starting from: -7.72472	-7.21129
0.178	149.648
#starting from: -8.52259	-7.16815
0.178	149.648
#starting from: -8.52595	-7.94985
0.178	149.648
#starting from: -7.55823	-8.25102
0.178	149.648
#starting from: -7.05836	-7.44584
0.178	149.648
#starting from: -7.28359	-8.8143
0.178	149.648
